Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50450000	157.8353417	95.4050165	87.6446199	85.8255881	63.8131917	27.9456487	11.7004816	6.5478181	0.0102879	0.0114121	-8.032
50455000	163.2649312	91.4052323	83.7007975	81.2847719	58.5797671	25.6774843	11.1596535	7.3977643	0.0030226	0.0132176	-7.739
50460000	160.0646637	91.3460608	76.0833639	74.4407650	59.7312812	25.9107258	12.4521415	6.8036552	0.0086037	0.0094291	-7.690
50465000	156.5619543	92.4592305	84.1069301	81.6481174	64.5519309	27.3931483	15.5089868	8.2367474	0.0063477	0.0077457	-6.355
50470000	166.4967983	92.6189785	85.1489427	83.8159504	60.8203186	21.8601855	10.5896791	6.6109522	0.0285488	0.0196872	-12.048
50475000	160.8236898	91.7145699	82.1277963	79.7782693	64.4177796	26.4778044	10.5467797	5.2488439	0.0194826	0.0116951	-7.709
50480000	164.1487173	91.2519345	80.7799213	79.1470716	65.9490109	23.6604916	10.4798088	4.5496436	0.0087485	0.0139822	-5.483
50485000	156.0409014	93.7529610	84.7628733	82.7831126	64.4098959	21.5903191	9.4159035	5.6048383	0.0085893	0.0087932	-2.650
50490000	155.2120249	92.4649633	81.8575616	78.8525001	63.2475416	23.8672921	8.8631862	4.2824830	0.0072509	0.0125633	-5.716
50495000	151.8682552	97.5953805	83.6790951	80.6267391	61.4582854	22.9019147	8.2885076	2.8077107	0.0142893	0.0254231	-2.633
50500000	162.2045052	92.6199375	87.1977615	85.2255510	59.9294432	23.7972036	8.6790797	4.5628715	0.0085081	0.0331408	-12.206
50505000	155.7773872	94.2835329	85.0659945	83.3305601	65.7263962	27.9675477	10.3415184	4.8936104	0.0035284	0.0161010	-9.606
50510000	165.7363574	95.8209765	87.1540941	85.0961234	62.5452505	24.0464615	11.2655729	5.3232092	0.0149514	0.0097456	-8.285
50515000	157.5469022	91.2214989	81.3275853	79.0266237	62.8648012	25.1724098	10.4490824	4.9520925	0.0047646	0.0105298	-3.673
50520000	160.9844648	98.1262637	88.9940278	85.2859014	63.1122617	28.2133953	11.3250035	5.2092935	0.0049212	0.0186800	-7.724
50525000	153.7050666	96.4990139	85.8159776	83.2212541	65.8292842	23.6204151	8.9607556	5.0804021	0.0183109	0.0136216	-6.113
50530000	151.0445530	93.1483501	82.1383614	79.4456364	62.2943156	23.7613973	11.0700073	5.4074415	0.0105993	0.0068362	-3.827
50535000	159.4565876	95.1168788	86.1318937	83.1522210	59.5564828	23.4536532	11.8708596	5.1049157	0.0079610	0.0065153	-6.952
50540000	157.2428147	95.1890783	85.5293004	83.5487194	60.7680784	22.8557070	11.5527261	6.2280853	0.0080501	0.0133115	-12.104
50545000	157.3564110	95.5562960	88.1296769	86.6804532	66.1847751	24.6271667	10.1515690	4.9646181	0.0110421	0.0246957	-9.314
50550000	164.6011042	98.5390937	87.2546296	84.1038425	62.1439052	25.2101393	10.5597875	5.2613646	0.0080413	0.0082436	-6.314
50555000	154.6929812	99.3422890	90.2274122	87.5548439	64.3016614	22.2499688	8.2831119	4.0793224	0.0098250	0.0082198	-7.474
50560000	156.1836511	93.6092371	85.9153591	84.1945728	63.6297105	24.6888217	10.3525977	4.7618477	0.0088673	0.0100215	-5.094
50565000	162.5924098	97.7888717	85.8996400	83.5209321	64.4943892	22.4845569	10.7311959	6.3418441	0.0164665	0.0065707	-6.421
50570000	157.9788580	97.2062725	86.8920956	84.8965307	62.8501205	23.8674445	11.8098021	6.1999827	0.0118673	0.0107747	-6.646
50575000	158.6480773	96.8724177	87.9584321	85.5663801	64.9697309	23.9795419	10.2273339	5.5836053	0.0311123	0.0162313	-3.624
50580000	155.1671023	96.0761342	85.7903979	84.4192311	66.1278458	24.2084874	12.4938351	6.3167391	0.0184193	0.0138536	-7.607
50585000	164.2588880	92.3590037	81.7345880	77.9715011	59.2335914	26.4595781	12.1823715	5.5434654	0.0095184	0.0184927	-9.954
50590000	158.4926411	96.4312465	85.2445213	81.9843786	65.8636440	27.4401712	11.4078241	6.5314287	0.0129851	0.0115581	-7.082
50595000	151.2593736	93.5443917	85.0821219	83.2412484	66.1188235	25.7341592	13.4254762	7.7096629	0.0354252	0.0150968	-6.303
50600000	156.5743065	96.7056751	85.2667684	84.0908529	63.2646052	28.1167138	14.8673322	9.2495732	0.0807172	0.0355107	-9.900
50605000	166.1405225	93.1908155	86.7804954	84.8967063	65.3445718	24.1003085	11.1554170	6.1855999	0.0039443	0.0042025	-6.788
50610000	166.7528165	91.0379418	83.7605463	82.1132721	63.0944085	22.1078775	10.4111854	5.7294218	0.0099310	0.0056486	-7.549
50615000	160.5484740	94.7364999	86.0509124	83.1984400	62.2467062	22.5261983	10.3966013	5.3213776	0.0070957	0.0065359	-15.074
50620000	160.5660617	93.7872425	82.4211504	80.0601117	61.8412960	21.7335957	10.8253807	5.7148655	0.0042876	0.0027318	-8.317
50625000	166.0916243	98.0967222	84.2371195	81.7866528	64.7122378	23.8989371	9.6998210	4.9192050	0.0054990	0.0082875	-5.563
50630000	161.9492058	90.0613092	80.4532673	78.4392625	62.7788036	21.5578219	9.5195254	5.2029928	0.0028467	0.0029797	-6.717
50635000	157.7060505	92.6884429	81.5922453	79.1232972	64.4040013	23.2404677	11.6272938	6.2388164	0.0061402	0.0054058	-7.793
50640000	155.8948768	91.0255841	76.2777434	73.6825517	59.3920807	23.5833764	9.4047188	4.8233791	0.0055244	0.0083611	-9.278
50645000	167.2902913	97.5890722	85.8923783	83.3068922	64.5971699	23.3110011	9.4882721	5.2361667	0.0051032	0.0042240	-5.288
50650000	165.2367937	93.6950038	81.2109909	78.5006588	64.3482593	22.3626342	10.2044974	5.5242465	0.0033823	0.0055672	-10.690
50655000	152.5188791	91.4655058	79.2340129	77.0627528	61.7537407	23.0119183	11.4680024	5.8248699	0.0052067	0.0043407	-9.859
50660000	161.0375627	92.1916685	84.4784272	81.6847518	61.8629988	24.7152872	9.6549349	5.6335862	0.0041440	0.0098562	-9.213
50665000	157.6109552	99.7063671	89.0336942	86.2847684	64.4268952	25.5643236	9.5587584	5.2896549	0.0051872	0.0061571	-5.769
50670000	162.3591613	97.4950019	84.3605001	81.8271463	59.0461064	22.4435037	7.5622983	3.9170210	0.0028740	0.0075281	-8.953
50675000	154.5602388	100.5244684	88.9457018	86.4992009	65.5696715	22.3618329	9.4554073	4.9840909	0.0046687	0.0049980	-8.413
50680000	158.0058135	101.3966426	88.2946694	85.6461216	60.6183562	26.0312940	10.8930951	5.4001216	0.0064942	0.0053388	-7.048
50685000	153.7244182	99.0503356	84.7334080	81.0428446	65.8633575	24.5899333	10.6331768	5.7626689	0.0038199	0.0082113	-6.856
50690000	155.3339409	91.0344988	78.9409323	77.0091778	62.4582324	25.2856620	15.5630525	8.1443912	0.0055820	0.0070704	-6.892
50695000	163.1842546	95.3257795	85.2005939	82.0799747	61.2219841	27.3888370	11.3822432	5.2302188	0.0066180	0.0112032	-6.114
50700000	160.6670600	96.4145661	85.0996771	82.9122967	65.1896354	23.2161342	9.2981512	4.7915642	0.0064290	0.0042343	-8.809
50705000	158.3740772	90.3641887	81.2130421	78.5010363	61.7778837	22.9271837	11.1000718	5.3404162	0.0035186	0.0090427	-9.255
50710000	152.4884124	91.3247027	79.5395335	77.5491301	60.1536870	21.7550214	10.5105313	5.7023294	0.0048448	0.0114267	-7.246
50715000	157.1304346	92.5042282	81.0638868	78.1763168	62.9710842	21.3740128	8.7311895	4.5362058	0.0075857	0.0091219	-5.023
50720000	167.1856152	93.6499910	83.8320438	81.0744010	60.8532902	21.9333188	8.4703976	4.0186225	0.0063192	0.0034637	-7.459
50725000	154.5565320	95.6868793	81.9643322	79.2368611	65.1358046	21.6840431	9.1595866	4.6929577	0.0068806	0.0107563	-4.394
50730000	154.3501471	90.8548044	82.7899528	81.4183364	64.4324838	24.1643639	10.0431003	5.6540923	0.0034884	0.0116635	-7.124
50735000	162.5567396	96.8251165	86.7461222	83.6672953	58.3995008	21.3908344	10.4062080	5.1796854	0.0162820	0.0044819	-5.978
50740000	167.3973502	93.7604350	82.6845653	80.5019307	60.1137770	21.7554664	10.0431864	5.4329092	0.0083104	0.0050876	-9.105
50745000	165.3021757	101.3857471	90.8668838	88.0326041	65.0430084	23.5140029	10.8884013	5.1993687	0.0069804	0.0117079	-3.722
